"age_group","frequency","proportion","name"
"1",5320,0.0156357459014948,"2-4"
"10",24026,0.0706136148551342,"45-49"
"11",26544,0.0780141427085109,"50-54"
"12",28934,0.0850384721642576,"55-59"
"13",29529,0.0867872069032406,"60-64"
"14",29486,0.0866608277540368,"65-69"
"15",30203,0.0887681265907608,"70-74"
"16",17568,0.0516332300747106,"75-79"
"17",8866,0.026057617135837,"80-84"
"18",3459,0.0101661738859531,"85-89"
"19",1026,0.00301546528100257,"90+"
"2",13884,0.0408057699429236,"5-9"
"3",17709,0.0520476361220999,"10-14"
"4",14057,0.0413142255897204,"15-19"
"5",11565,0.0339901130358623,"20-24"
"6",15337,0.0450762095660199,"25-29"
"7",18999,0.0558390105982142,"30-34"
"8",21362,0.0627839857044609,"35-39"
"9",22372,0.0657524261857597,"40-44"
