Age,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
All Ages,2637426,7380605,5468487,4855469,5931924,6297779,8867008,9225273,5661990,3104483,5413100,1900523
Age 0,25248,78490,57675,48153,64796,66792,113378,93238,51591,29380,48381,21834
Age 1,26655,81301,59318,49911,66680,68720,112013,96875,54010,30550,51086,22685
Age 2,27275,82127,60460,51494,68102,71070,110325,99791,55690,32012,51718,23114
Age 3,28410,84977,62549,52939,70048,72340,110387,102598,56810,32733,53082,23859
Age 4,29271,87350,63909,55098,71601,75007,110159,106558,59959,34326,55688,24648
Age 5,28895,86932,63735,54978,71037,74028,107396,106761,59720,34129,56266,24566
Age 6,29597,87532,63924,55388,72784,74618,106440,107161,60721,34359,56836,24539
Age 7,30480,89676,65874,56830,74943,76361,108155,110706,62428,35353,58151,24954
Age 8,31105,91660,67634,58934,76232,78405,110883,114864,64894,36511,59645,25800
Age 9,31567,92121,67518,59215,76303,78072,110210,115420,64728,37068,60149,25835
Age 10,31091,90767,67196,57960,74500,77605,109016,114169,64111,36571,60299,25460
Age 11,30511,90251,66768,57559,74790,76984,108112,112909,63142,36424,60182,25624
Age 12,31087,90917,66669,58697,75745,77545,108181,114240,64030,37074,60355,25755
Age 13,29779,87193,64396,55970,72396,73951,104377,110416,62165,35277,58418,24431
Age 14,29427,86696,63410,55403,71306,72331,100324,107574,60551,34784,57609,23480
Age 15,28546,86358,63467,54518,71977,71576,100485,106461,60713,35044,55340,23528
Age 16,28378,84505,63103,54083,71126,71817,99394,106295,60709,34200,56826,23202
Age 17,27948,81673,61215,52932,68301,69227,97715,104695,60347,33653,58873,22676
Age 18,28095,81646,61638,54172,68126,68519,95713,103039,60354,33839,59599,22379
Age 19,32439,84759,66936,63761,71731,62804,91775,100479,66132,35869,64284,21312
Age 20,33667,87257,71190,66042,72742,61558,95518,99773,68078,37281,68722,21191
Age 21,34212,91243,72133,64909,73874,65370,102748,104581,68494,38907,68130,22368
Age 22,33400,89906,71678,61135,73504,68934,115991,105560,67317,38512,65954,22763
Age 23,32882,93600,71023,60379,74716,72663,135649,107578,66967,38916,67613,23661
Age 24,31105,90003,68047,57393,71848,72183,143430,104362,63664,36800,66090,22990
Age 25,31566,91574,67816,58075,71748,72769,149740,104577,64196,36476,65650,22961
